cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms,chip_atten,ours_atten,excess_atten
823,60.0,112.0,20.0,23.0,51.0,28.0,0.068801,0.5817,15109.0,4332.8,13015.0,3807.9,1.1379,1.1609,5254.7,5224.2,0.17544293679943668,0.2711037096588951,-0.0956607728594584
824,60.0,116.0,20.0,23.0,54.0,31.0,0.072144,0.52245,15085.0,4441.4,13015.0,3792.1,1.1713,1.159,5254.7,5224.2,0.15477572458941524,0.2741280961678343,-0.11935237157841905
825,64.0,64.0,20.0,24.0,24.0,0.0,0.0,1.0,12329.0,5316.0,11713.0,5264.7,1.0097,1.0526,5314.4,5258.0,-0.0003010687942195389,-0.0012742487637884548,0.0009731799695689158
826,64.0,68.0,20.0,24.0,26.0,2.0,0.006968,0.955498,12717.0,4405.9,11711.0,4557.4,0.9668,1.0859,5314.4,5258.0,0.17095062471774802,0.13324457968809444,0.03770604502965358
827,64.0,72.0,20.0,24.0,27.0,3.0,0.013496,0.951396,12571.0,4410.0,11713.0,4612.3,0.9561,1.0733,5314.4,5258.0,0.1701791359325605,0.12280334728033471,0.0473757886522258
828,64.0,76.0,20.0,24.0,29.0,5.0,0.019597,0.899677,12855.0,4722.3,11713.0,4562.8,1.0349,1.0975,5314.4,5258.0,0.11141427066084586,0.1322175732217573,-0.020803302560911452
829,64.0,80.0,20.0,24.0,31.0,7.0,0.02566,0.889397,12742.0,4700.3,11713.0,4441.2,1.0583,1.0879,5314.4,5258.0,0.11555396658136374,0.1553442373526056,-0.039790270771241865
830,64.0,84.0,20.0,24.0,33.0,9.0,0.031152,0.836402,13536.0,4835.6,11713.0,4664.8,1.0366,1.1556,5314.4,5258.0,0.09009483667017903,0.1128185621909471,-0.022723725520768068
831,64.0,88.0,20.0,24.0,35.0,11.0,0.036317,0.810724,14075.0,4726.4,11713.0,4624.1,1.0221,1.2017,5314.4,5258.0,0.11064278187565857,0.12055914796500566,-0.009916366089347095
832,64.0,92.0,20.0,24.0,37.0,13.0,0.041167,0.759547,13792.0,4789.1,11896.0,4841.3,0.9892,1.1594,5314.4,5258.0,0.09884464850218266,0.07925066565233929,0.019593982849843372
833,64.0,96.0,20.0,24.0,40.0,16.0,0.045722,0.751464,13761.0,4892.7,13586.0,4791.2,1.0212,1.0129,5314.4,5258.0,0.0793504440764714,0.08877900342335487,-0.00942855934688347
834,64.0,100.0,20.0,24.0,42.0,18.0,0.050014,0.748461,14563.0,4978.8,12298.0,4654.6,1.0696,1.1842,5314.4,5258.0,0.06314917958753563,0.11475846329402806,-0.051609283706492426
835,64.0,104.0,20.0,24.0,45.0,21.0,0.054054,0.65276,15397.0,5084.3,13445.0,4948.0,1.0276,1.1452,5314.4,5258.0,0.043297455968688725,0.05895777862305063,-0.015660322654361902
836,64.0,108.0,20.0,24.0,48.0,24.0,0.057836,0.614145,16314.0,5179.8,14609.0,5062.0,1.0233,1.1167,5314.4,5258.0,0.025327412313713604,0.03727653100038042,-0.011949118686666815
837,64.0,112.0,20.0,24.0,51.0,27.0,0.061399,0.603249,16738.0,5127.4,14152.0,5012.0,1.023,1.1827,5314.4,5258.0,0.035187415324401616,0.04678585013313041,-0.011598434808728797
838,64.0,116.0,20.0,24.0,54.0,30.0,0.064742,0.545731,15877.0,5142.5,13875.0,4997.1,1.0291,1.1443,5314.4,5258.0,0.03234607857895522,0.049619627234689934,-0.017273548655734716
839,68.0,68.0,20.0,26.0,26.0,0.0,0.0,1.0,13164.0,4919.4,10589.0,5008.3,0.9823,1.2432,5131.3,5002.2,0.041295578118605514,-0.0012194634360882528,0.04251504155469377
840,68.0,72.0,20.0,26.0,27.0,1.0,0.006528,0.994368,13785.0,4502.7,10557.0,4674.0,0.9633,1.3058,5131.3,5002.2,0.12250306939761857,0.06561113110231498,0.05689193829530359
841,68.0,76.0,20.0,26.0,29.0,3.0,0.012629,0.921948,13449.0,4418.6,10558.0,4525.9,0.9763,1.2738,5131.3,5002.2,0.1388926782686648,0.09521810403422493,0.04367457423443988
842,68.0,80.0,20.0,26.0,31.0,5.0,0.018692,0.90614,13695.0,4517.6,10558.0,4445.6,1.0162,1.2971,5131.3,5002.2,0.119599321809288,0.11127104074207339,0.008328281067214616
843,68.0,84.0,20.0,26.0,33.0,7.0,0.024184,0.874892,14342.0,4646.9,10583.0,4218.9,1.1014,1.3552,5131.3,5002.2,0.09440102897901126,0.15659109991603704,-0.062190070937025776
844,68.0,88.0,20.0,26.0,35.0,9.0,0.029349,0.850639,14796.0,4758.2,10558.0,4299.2,1.1068,1.4014,5131.3,5002.2,0.07271061914134824,0.14053816320818835,-0.0678275440668401
845,68.0,92.0,20.0,26.0,37.0,11.0,0.034199,0.79826,13789.0,4649.5,12195.0,4417.1,1.0526,1.1307,5131.3,5002.2,0.09389433476896691,0.11696853384510808,-0.023074199076141166
846,68.0,96.0,20.0,26.0,40.0,14.0,0.038754,0.783791,14918.0,4797.3,13654.0,4663.9,1.0286,1.0926,5131.3,5002.2,0.06509071775183672,0.06763024269321505,-0.002539524941378324
847,68.0,100.0,20.0,26.0,42.0,16.0,0.043046,0.781214,15305.0,4842.7,13790.0,4727.7,1.0243,1.1099,5131.3,5002.2,0.05624305731491053,0.05487585462396549,0.0013672026909450352
848,68.0,104.0,20.0,26.0,45.0,19.0,0.047086,0.710586,16579.0,5029.6,14550.0,4832.8,1.0407,1.1395,5131.3,5002.2,0.01981953890826882,0.033865099356283124,-0.014045560448014305
849,68.0,108.0,20.0,26.0,48.0,22.0,0.050868,0.634354,17115.0,5148.9,15925.0,4773.0,1.0788,1.0747,5131.3,5002.2,-0.003429930037222473,0.045819839270720863,-0.049249769307943336
850,68.0,112.0,20.0,26.0,51.0,25.0,0.054431,0.629874,16149.0,5150.2,15112.0,4747.9,1.0847,1.0686,5131.3,5002.2,-0.00368327714224459,0.050837631442165465,-0.054520908584410055
851,68.0,116.0,20.0,26.0,54.0,28.0,0.057774,0.59867,18112.0,5212.2,15907.0,4901.2,1.0635,1.1386,5131.3,5002.2,-0.015765985227914836,0.020191115909000024,-0.03595710113691486
852,72.0,72.0,20.0,27.0,27.0,0.0,0.0,1.0,13085.0,5238.7,10842.0,4976.1,1.0528,1.2069,5128.2,5047.1,-0.021547521547521598,0.014067484297913602,-0.0356150058454352
853,72.0,76.0,20.0,27.0,29.0,2.0,0.006101,0.927325,14082.0,4690.5,11832.0,4369.4,1.0735,1.1902,5128.2,5047.1,0.08535158535158527,0.13427512829149424,-0.04892354293990897
854,72.0,80.0,20.0,27.0,31.0,4.0,0.012164,0.907137,13941.0,4710.5,11274.0,4424.1,1.0647,1.2366,5128.2,5047.1,0.08145158145158138,0.12343722137465074,-0.04198563992306936
855,72.0,84.0,20.0,27.0,33.0,6.0,0.017656,0.87953,14605.0,4800.5,11864.0,4669.0,1.0282,1.231,5128.2,5047.1,0.06390156390156387,0.07491430722593184,-0.011012743324367968
856,72.0,88.0,20.0,27.0,35.0,8.0,0.022821,0.860365,14745.0,4952.4,11285.0,4692.3,1.0554,1.3066,5128.2,5047.1,0.03428103428103435,0.07029779477323617,-0.036016760492201816
857,72.0,92.0,20.0,27.0,37.0,10.0,0.027671,0.809428,15122.0,4813.5,12520.0,4489.5,1.0722,1.2078,5128.2,5047.1,0.06136656136656138,0.11047928513403749,-0.04911272376747611
858,72.0,96.0,20.0,27.0,40.0,13.0,0.032226,0.787202,16890.0,4820.7,14698.0,4844.4,0.9951,1.1491,5128.2,5047.1,0.05996255996255995,0.04016167700263529,0.01980088295992466
859,72.0,100.0,20.0,27.0,42.0,15.0,0.036518,0.785667,14277.0,4616.4,14595.0,4833.2,0.9551,0.9782,5128.2,5047.1,0.09980109980109986,0.04238077311723576,0.0574203266838641
860,72.0,104.0,20.0,27.0,45.0,18.0,0.040558,0.721915,15892.0,4421.3,15923.0,4957.3,0.8919,0.9981,5128.2,5047.1,0.13784563784563775,0.01779239563313595,0.1200532422125018
861,72.0,108.0,20.0,27.0,48.0,21.0,0.04434,0.640352,15160.0,4252.0,14997.0,4766.4,0.8921,1.0109,5128.2,5047.1,0.1708591708591708,0.05561609637217424,0.11524307448699656
862,72.0,112.0,20.0,27.0,51.0,24.0,0.047903,0.632762,15243.0,4301.7,15729.0,4834.3,0.8898,0.9691,5128.2,5047.1,0.16116766116766112,0.04216282617740885,0.11900483499025227
863,72.0,116.0,20.0,27.0,54.0,27.0,0.051246,0.606247,16430.0,4402.9,16995.0,4952.5,0.889,0.9668,5128.2,5047.1,0.14143364143364145,0.018743436825107596,0.12269020460853386
864,76.0,76.0,20.0,29.0,29.0,0.0,0.0,1.0,12868.0,5410.6,11740.0,4917.0,1.1004,1.0961,5137.2,5133.7,-0.05321965272911333,0.04221127062352681,-0.09543092335264014
865,76.0,80.0,20.0,29.0,31.0,2.0,0.006063,0.965016,14222.0,4883.6,11741.0,4541.0,1.0754,1.2113,5137.2,5133.7,0.04936541306548303,0.1154527923330152,-0.06608737926753216
866,76.0,84.0,20.0,29.0,33.0,4.0,0.011555,0.910969,14476.0,4997.2,12008.0,4501.2,1.1102,1.2055,5137.2,5133.7,0.027252199641828234,0.12320548532247699,-0.09595328568064876
867,76.0,88.0,20.0,29.0,35.0,6.0,0.01672,0.906145,15379.0,5081.3,11740.0,4439.4,1.1446,1.31,5137.2,5133.7,0.010881413999844214,0.13524358649706847,-0.12436217249722425
868,76.0,92.0,20.0,29.0,37.0,8.0,0.02157,0.866928,15477.0,5277.3,12060.0,4558.3,1.1577,1.2833,5137.2,5133.7,-0.027271665498715292,0.11208290316925407,-0.13935456866796936
869,76.0,96.0,20.0,29.0,40.0,11.0,0.026125,0.841198,15683.0,5127.5,13634.0,4717.6,1.0869,1.1503,5137.2,5133.7,0.0018881881180409232,0.0810526520832926,-0.07916446396525167
870,76.0,100.0,20.0,29.0,42.0,13.0,0.030417,0.836352,16742.0,4956.7,13306.0,4784.0,1.0361,1.2582,5137.2,5133.7,0.03513587168107135,0.06811851101544697,-0.03298263933437562
871,76.0,104.0,20.0,29.0,45.0,16.0,0.034457,0.785239,15195.0,4719.3,14237.0,4865.0,0.9701,1.0673,5137.2,5133.7,0.08134781593085716,0.05234041724292415,0.029007398687933006
872,76.0,108.0,20.0,29.0,48.0,19.0,0.038239,0.722094,15134.0,4573.9,15041.0,4825.7,0.9478,1.0062,5137.2,5133.7,0.10965117184458462,0.05999571459181485,0.049655457252769764
873,76.0,112.0,20.0,29.0,51.0,22.0,0.041802,0.707689,15602.0,4492.0,14189.0,4812.8,0.9333,1.0996,5137.2,5133.7,0.12559370863505404,0.06250852211854996,0.06308518651650408
874,76.0,116.0,20.0,29.0,54.0,25.0,0.045145,0.646438,17069.0,4639.6,16193.0,5124.9,0.9053,1.0541,5137.2,5133.7,0.0968621038698122,0.0017141632740519386,0.09514794059576026
875,80.0,80.0,20.0,31.0,31.0,0.0,0.0,1.0,14034.0,4915.2,11280.0,5167.1,0.9513,1.2441,5111.3,5015.2,0.03836597343141679,-0.030287924708885194,0.06865389814030198
876,80.0,84.0,20.0,31.0,33.0,2.0,0.005492,0.941021,14809.0,4347.2,12111.0,4857.3,0.895,1.2228,5111.3,5015.2,0.14949230137147107,0.03148428776519374,0.11800801360627733
877,80.0,88.0,20.0,31.0,35.0,4.0,0.010657,0.915765,14630.0,4471.1,11280.0,4808.7,0.9298,1.297,5111.3,5015.2,0.12525189286482885,0.04117482852129528,0.08407706434353357
878,80.0,92.0,20.0,31.0,37.0,6.0,0.015507,0.889349,15590.0,4535.7,11557.0,4610.0,0.9839,1.349,5111.3,5015.2,0.11261322951108332,0.08079438506938907,0.03181884444169425
879,80.0,96.0,20.0,31.0,40.0,9.0,0.020062,0.877828,15426.0,4789.1,12918.0,4584.1,1.0447,1.1941,5111.3,5015.2,0.06303680081388296,0.08595868559578868,-0.02292188478190571
880,80.0,100.0,20.0,31.0,42.0,11.0,0.024354,0.873684,16380.0,4772.2,11902.0,4510.7,1.058,1.3762,5111.3,5015.2,0.06634320035998675,0.10059419365130007,-0.034250993291313314
881,80.0,104.0,20.0,31.0,45.0,14.0,0.028394,0.813825,15922.0,4892.0,11658.0,4517.9,1.0828,1.3658,5111.3,5015.2,0.04290493612192592,0.09915855798372952,-0.056253621861803604
882,80.0,108.0,20.0,31.0,48.0,17.0,0.032176,0.762076,16371.0,4742.0,11366.0,4403.1,1.077,1.4403,5111.3,5015.2,0.07225167765539098,0.12204897112777147,-0.04979729347238049
883,80.0,112.0,20.0,31.0,51.0,20.0,0.035739,0.755724,17493.0,4977.9,11280.0,4426.0,1.1247,1.5508,5111.3,5015.2,0.026099035470428356,0.11748285212952625,-0.0913838166590979
884,80.0,116.0,20.0,31.0,54.0,23.0,0.039082,0.692358,16637.0,4994.5,11280.0,4379.6,1.1404,1.4749,5111.3,5015.2,0.02285132940739154,0.12673472643164774,-0.1038833970242562
885,84.0,84.0,20.0,33.0,33.0,0.0,0.0,1.0,14870.0,4960.6,12211.0,5193.1,0.9552,1.2178,5113.2,5068.7,0.029844324493467744,-0.02454278217294381,0.054387106666411555
886,84.0,88.0,20.0,33.0,35.0,2.0,0.005165,0.969704,14791.0,4446.9,12194.0,4767.7,0.9327,1.213,5113.2,5068.7,0.13030978643510915,0.0593840629747272,0.07092572346038195
887,84.0,92.0,20.0,33.0,37.0,4.0,0.010015,0.917524,15489.0,4625.1,12194.0,4887.5,0.9463,1.2702,5113.2,5068.7,0.09545881248533195,0.03574881133229424,0.059710001153037706
888,84.0,96.0,20.0,33.0,40.0,7.0,0.01457,0.911749,15014.0,4678.6,12653.0,4693.1,0.9969,1.1866,5113.2,5068.7,0.0849956974106234,0.07410184070866288,0.010893856701960525
889,84.0,100.0,20.0,33.0,42.0,9.0,0.018862,0.910056,16282.0,4681.5,12194.0,4635.4,1.0099,1.3352,5113.2,5068.7,0.08442853790190097,0.0854854301892004,-0.001056892287299438
890,84.0,104.0,20.0,33.0,45.0,12.0,0.022902,0.861836,16501.0,4833.7,12651.0,4677.2,1.0335,1.3043,5113.2,5068.7,0.054662442306187886,0.07723873971629802,-0.022576297410110135
891,84.0,108.0,20.0,33.0,48.0,15.0,0.026684,0.805712,16659.0,4855.0,12410.0,4600.6,1.0553,1.3424,5113.2,5068.7,0.05049675350074312,0.09235109594176016,-0.041854342441017045
892,84.0,112.0,20.0,33.0,51.0,18.0,0.030247,0.797006,17682.0,4996.5,12194.0,4663.9,1.0713,1.4501,5113.2,5068.7,0.022823280919971767,0.07986268668494889,-0.057039405764977125
893,84.0,116.0,20.0,33.0,54.0,21.0,0.03359,0.764024,17783.0,5074.6,12194.0,4619.2,1.0986,1.4583,5113.2,5068.7,0.007549088633341028,0.0886815159705644,-0.08113242733722337
894,88.0,88.0,20.0,35.0,35.0,0.0,0.0,1.0,16284.0,5177.9,11860.0,4908.6,1.0549,1.373,4935.7,5005.3,-0.04907105375124088,0.0193195213074141,-0.06839057505865498
895,88.0,92.0,20.0,35.0,37.0,2.0,0.00485,0.949304,15693.0,4583.6,12290.0,4484.1,1.0222,1.2769,4935.7,5005.3,0.0713373989505034,0.10412962260004388,-0.032792223649540486
896,88.0,96.0,20.0,35.0,40.0,5.0,0.009405,0.922196,15708.0,4645.5,13721.0,4658.4,0.9972,1.1448,4935.7,5005.3,0.05879611807848939,0.06930653507282292,-0.010510416994333527
897,88.0,100.0,20.0,35.0,42.0,7.0,0.013697,0.921126,15692.0,4648.0,14000.0,4733.7,0.9819,1.1209,4935.7,5005.3,0.05828960431144514,0.05426248176932458,0.004027122542120565
898,88.0,104.0,20.0,35.0,45.0,10.0,0.017737,0.887807,16411.0,4830.1,14614.0,4659.5,1.0366,1.123,4935.7,5005.3,0.02139514151994637,0.06908676802589264,-0.04769162650594627
899,88.0,108.0,20.0,35.0,48.0,13.0,0.021519,0.837783,15820.0,4861.8,15746.0,4766.3,1.02,1.0047,4935.7,5005.3,0.014972546953826105,0.047749385651209675,-0.03277683869738357
900,88.0,112.0,20.0,35.0,51.0,16.0,0.025082,0.819624,16251.0,4874.1,14648.0,4621.7,1.0546,1.1094,4935.7,5005.3,0.012480499219968744,0.0766387629113141,-0.06415826369134536
901,88.0,116.0,20.0,35.0,54.0,19.0,0.028425,0.785481,17260.0,5000.5,16028.0,4538.6,1.1018,1.0769,4935.7,5005.3,-0.013128836841785452,0.09324116436577223,-0.10637000120755769
902,92.0,92.0,20.0,37.0,37.0,0.0,0.0,1.0,16114.0,5111.1,12935.0,5010.9,1.02,1.2458,5103.5,5032.1,-0.0014891740962086342,0.004212952842749695,-0.0057021269389583296
903,92.0,96.0,20.0,37.0,40.0,3.0,0.004555,0.97239,15298.0,4665.0,13404.0,4625.3,1.0086,1.1413,5103.5,5032.1,0.08592142647202905,0.08084100077502432,0.005080425697004731
904,92.0,100.0,20.0,37.0,42.0,5.0,0.008847,0.968955,15089.0,4642.8,12059.0,4034.8,1.1507,1.2513,5103.5,5032.1,0.09027138238463794,0.19818763538085493,-0.10791625299621699
905,92.0,104.0,20.0,37.0,45.0,8.0,0.012887,0.915874,16661.0,4969.4,8095.0,3581.8,1.3874,2.0582,5103.5,5032.1,0.02627608503967871,0.2882096937660221,-0.2619336087263434
906,92.0,108.0,20.0,37.0,48.0,11.0,0.016669,0.878587,17226.0,4949.7,9402.0,3817.3,1.2966,1.8322,5103.5,5032.1,0.030136181052219047,0.241410146857177,-0.21127396580495794
907,92.0,112.0,20.0,37.0,51.0,14.0,0.020232,0.859355,16770.0,4924.6,12045.0,3967.3,1.2413,1.3923,5103.5,5032.1,0.03505437444890758,0.21160151825281692,-0.17654714380390935
908,92.0,116.0,20.0,37.0,54.0,17.0,0.023575,0.823104,17348.0,5147.0,10968.0,3675.7,1.4003,1.5817,5103.5,5032.1,-0.008523562261193218,0.2695494922596928,-0.27807305452088604
909,96.0,96.0,20.0,40.0,40.0,0.0,0.0,1.0,17057.0,5274.6,14935.0,5154.5,1.0233,1.1421,5049.3,5024.7,-0.044620046343057496,-0.025832388003263818,-0.018787658339793678
910,96.0,100.0,20.0,40.0,42.0,2.0,0.004292,0.995045,17003.0,4893.7,14934.0,4873.1,1.0042,1.1385,5049.3,5024.7,0.030816152734042368,0.030170955479929096,0.0006451972541132722
911,96.0,104.0,20.0,40.0,45.0,5.0,0.008332,0.929336,16893.0,5006.0,15521.0,4906.7,1.0203,1.0884,5049.3,5024.7,0.008575446101439788,0.02348398909387628,-0.014908542992436491
912,96.0,108.0,20.0,40.0,48.0,8.0,0.012114,0.896188,16906.0,5098.3,15793.0,4924.1,1.0354,1.0705,5049.3,5024.7,-0.009704315449666323,0.020021095786812992,-0.029725411236479315
913,96.0,112.0,20.0,40.0,51.0,11.0,0.015677,0.887523,16940.0,5143.6,15415.0,4859.0,1.0586,1.0989,5049.3,5024.7,-0.018675856059255702,0.03297709315979058,-0.051652949219046285
914,96.0,116.0,20.0,40.0,54.0,14.0,0.01902,0.854764,16943.0,5245.2,16457.0,4969.5,1.0555,1.0295,5049.3,5024.7,-0.03879745707325766,0.010985730491372636,-0.049783187564630293
915,100.0,100.0,20.0,42.0,42.0,0.0,0.0,1.0,17523.0,5483.0,15019.0,4837.7,1.1334,1.1667,5408.1,5212.6,-0.013849595976405782,0.07192188159459778,-0.08577147757100356
916,100.0,104.0,20.0,42.0,45.0,3.0,0.00404,0.933245,17429.0,5126.8,15692.0,4713.8,1.0876,1.1107,5408.1,5212.6,0.05201457073648785,0.09569120976096379,-0.04367663902447594
917,100.0,108.0,20.0,42.0,48.0,6.0,0.007822,0.897637,18430.0,5022.3,16067.0,4554.8,1.1027,1.1471,5408.1,5212.6,0.071337438287014,0.12619422169358863,-0.05485678340657463
918,100.0,112.0,20.0,42.0,51.0,9.0,0.011385,0.891228,19214.0,5207.9,15853.0,4711.3,1.1054,1.212,5408.1,5212.6,0.03701854625469214,0.09617081686682272,-0.059152270612130575
919,100.0,116.0,20.0,42.0,54.0,12.0,0.014728,0.862709,19172.0,5197.9,14699.0,4640.6,1.1201,1.3043,5408.1,5212.6,0.03886762448919223,0.1097341058205118,-0.07086648133131956
920,104.0,104.0,20.0,45.0,45.0,0.0,0.0,1.0,18604.0,4798.2,16128.0,5368.0,0.8939,1.1535,5186.1,5130.3,0.07479608954705863,-0.046332573143870626,0.12112866269092926
921,104.0,108.0,20.0,45.0,48.0,3.0,0.003782,0.938075,17847.0,4062.7,16173.0,5227.3,0.7772,1.1035,5186.1,5130.3,0.2166174967702128,-0.018907276377599702,0.2355247731478125
922,104.0,112.0,20.0,45.0,51.0,6.0,0.007345,0.924261,17316.0,3952.1,16081.0,5220.5,0.757,1.0768,5186.1,5130.3,0.23794373421260684,-0.017581817827417412,0.25552555204002425
923,104.0,116.0,20.0,45.0,54.0,9.0,0.010688,0.900822,18307.0,4097.2,17085.0,5287.2,0.7749,1.0715,5186.1,5130.3,0.20996509901467397,-0.030583006841705007,0.24054810585637898
924,108.0,108.0,20.0,48.0,48.0,0.0,0.0,1.0,17812.0,5072.9,15854.0,4299.3,1.1799,1.1235,5053.3,4971.6,-0.0038786535531236677,0.13522809558291093,-0.1391067491360346
925,108.0,112.0,20.0,48.0,51.0,3.0,0.003563,0.981019,17878.0,4862.5,15487.0,4229.8,1.1496,1.1544,5053.3,4971.6,0.0377575049967348,0.14920749859200255,-0.11144999359526775
926,108.0,116.0,20.0,48.0,54.0,6.0,0.006906,0.940547,18981.0,4615.0,15964.0,4262.6,1.0827,1.189,5053.3,4971.6,0.08673540062929175,0.14261002494166863,-0.055874624312376886
927,112.0,112.0,20.0,51.0,51.0,0.0,0.0,1.0,18910.0,5233.3,16495.0,5472.1,0.9564,1.1464,5062.9,4882.3,-0.033656599972347934,-0.12080371955840485,0.08714711958605692
928,112.0,116.0,20.0,51.0,54.0,3.0,0.003343,0.966774,18737.0,5067.4,17134.0,5319.6,0.9526,1.0936,5062.9,4882.3,-0.000888818661241686,-0.0895684411035782,0.08867962244233651
929,116.0,116.0,20.0,54.0,54.0,0.0,0.0,1.0,18769.0,5515.1,16832.0,4439.8,1.2422,1.1151,5128.0,5089.4,-0.07548751950078003,0.12763783550123775,-0.20312535500201778
