cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms,chip_atten,ours_atten,excess_atten
745,44.0,64.0,20.0,18.0,24.0,6.0,0.04216,0.881537,11860.0,4569.0,10985.0,4328.8,1.0555,1.0797,5232.1,5211.5,0.12673687429521618,0.16937541974479509,-0.0426385454495789
746,44.0,68.0,20.0,18.0,26.0,8.0,0.049128,0.85391,12374.0,4464.5,10985.0,4522.3,0.9872,1.1264,5232.1,5211.5,0.14670973414116706,0.1322459944353832,0.014463739705783851
747,44.0,72.0,20.0,18.0,27.0,9.0,0.055656,0.853231,12401.0,4285.6,10985.0,4421.6,0.9693,1.1289,5232.1,5211.5,0.18090250568605337,0.15156864626307198,0.02933385942298139
748,44.0,76.0,20.0,18.0,29.0,11.0,0.061757,0.788912,12566.0,4337.1,10985.0,4667.4,0.9292,1.1439,5232.1,5211.5,0.17105942164713972,0.10440372253669772,0.066655699110442
749,44.0,80.0,20.0,18.0,31.0,13.0,0.06782,0.776261,11891.0,4157.9,10985.0,4456.6,0.933,1.0825,5232.1,5211.5,0.20530953154565101,0.14485272954043937,0.06045680200521164
750,44.0,84.0,20.0,18.0,33.0,15.0,0.073312,0.671538,11996.0,4158.5,10985.0,4438.9,0.9368,1.092,5232.1,5211.5,0.2051948548384015,0.14824906456874232,0.05694579026965918
751,44.0,88.0,20.0,18.0,35.0,17.0,0.078477,0.658462,12454.0,4285.3,10985.0,4493.5,0.9537,1.1337,5232.1,5211.5,0.18095984403967813,0.13777223448143527,0.043187609558242857
752,44.0,92.0,20.0,18.0,37.0,19.0,0.083327,0.610236,12569.0,4525.0,10985.0,4574.2,0.9892,1.1442,5232.1,5211.5,0.13514649949351132,0.12228724935239377,0.01285925014111755
753,44.0,96.0,20.0,18.0,40.0,22.0,0.087882,0.591042,13196.0,4309.7,10985.0,4479.7,0.9621,1.2013,5232.1,5211.5,0.17629632461153277,0.1404202245035019,0.035876100108030884
754,44.0,100.0,20.0,18.0,42.0,24.0,0.092174,0.588013,12867.0,4178.7,10985.0,4392.8,0.9513,1.1713,5232.1,5211.5,0.20133407236100231,0.15709488630912405,0.044239186051878265
755,44.0,104.0,20.0,18.0,45.0,27.0,0.096214,0.506674,12941.0,4412.9,11651.0,4455.7,0.9904,1.1107,5232.1,5211.5,0.1565719309646224,0.1450254245418786,0.011546506422743796
756,44.0,108.0,20.0,18.0,48.0,30.0,0.099996,0.45752,13114.0,3756.7,11705.0,4093.0,0.9178,1.1204,5232.1,5211.5,0.28199002312646937,0.21462151012184594,0.06736851300462343
757,44.0,112.0,20.0,18.0,51.0,33.0,0.103559,0.440902,12376.0,3690.3,10985.0,3834.5,0.9624,1.1266,5232.1,5211.5,0.29468091206207836,0.2642233522018612,0.030457559860217143
758,44.0,116.0,20.0,18.0,54.0,36.0,0.106902,0.405757,12901.0,3865.0,10985.0,4015.6,0.9625,1.1744,5232.1,5211.5,0.26129087746793833,0.22947328024561064,0.03181759722232769
759,48.0,48.0,20.0,19.0,19.0,0.0,0.0,1.0,13546.0,5735.6,12833.0,5571.5,1.0294,1.0556,5662.9,5617.0,-0.012837945222412772,0.008100409471248016,-0.020938354693660788
