cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
406,76,104,8,29,45,16,0.034457,0.785239,2087.0,639.4,2160.0,660.7,0.9678,0.9662,695.0,696.6
407,76,108,8,29,48,19,0.038239,0.722094,2044.0,615.2,2155.0,656.7,0.9368,0.9485,695.0,696.6
408,76,112,8,29,51,22,0.041802,0.707689,2148.0,605.7,2147.0,655.9,0.9234,1.0005,695.0,696.6
409,76,116,8,29,54,25,0.045145,0.646438,2296.0,624.4,2300.0,691.6,0.9028,0.9983,695.0,696.6
410,80,80,8,31,31,0,0.000000,1.000000,1936.0,659.1,1853.0,718.0,0.9180,1.0448,692.5,678.9
411,80,84,8,31,33,2,0.005492,0.941021,1986.0,584.7,1853.0,658.3,0.8882,1.0718,692.5,678.9
412,80,88,8,31,35,4,0.010657,0.915765,1986.0,602.5,1853.0,649.4,0.9277,1.0718,692.5,678.9
413,80,92,8,31,37,6,0.015507,0.889349,2102.0,610.9,1853.0,626.5,0.9750,1.1344,692.5,678.9
414,80,96,8,31,40,9,0.020062,0.877828,2036.0,645.9,1919.0,632.5,1.0212,1.0610,692.5,678.9
415,80,100,8,31,42,11,0.024354,0.873684,2209.0,644.2,1853.0,621.9,1.0358,1.1921,692.5,678.9
416,80,104,8,31,45,14,0.028394,0.813825,2185.0,659.2,1853.0,628.6,1.0487,1.1792,692.5,678.9
417,80,108,8,31,48,17,0.032176,0.762076,2207.0,639.6,1865.0,617.0,1.0366,1.1834,692.5,678.9
418,80,112,8,31,51,20,0.035739,0.755724,2407.0,672.3,1853.0,616.5,1.0905,1.2990,692.5,678.9
419,80,116,8,31,54,23,0.039082,0.692358,2312.0,675.1,1853.0,612.1,1.1029,1.2477,692.5,678.9
420,84,84,8,33,33,0,0.000000,1.000000,1972.0,674.2,1938.0,707.9,0.9524,1.0175,691.9,685.0
421,84,88,8,33,35,2,0.005165,0.969704,1968.0,603.8,1845.0,649.9,0.9291,1.0667,691.9,685.0
422,84,92,8,33,37,4,0.010015,0.917524,2125.0,626.8,1955.0,661.3,0.9477,1.0870,691.9,685.0
423,84,96,8,33,40,7,0.014570,0.911749,2012.0,635.4,1963.0,640.9,0.9914,1.0250,691.9,685.0
424,84,100,8,33,42,9,0.018862,0.910056,2191.0,635.6,1845.0,633.4,1.0034,1.1875,691.9,685.0
425,84,104,8,33,45,12,0.022902,0.861836,2260.0,656.2,1932.0,644.0,1.0189,1.1698,691.9,685.0
426,84,108,8,33,48,15,0.026684,0.805712,2227.0,659.3,1935.0,638.0,1.0333,1.1509,691.9,685.0
427,84,112,8,33,51,18,0.030247,0.797006,2378.0,677.2,1845.0,643.5,1.0523,1.2889,691.9,685.0
428,84,116,8,33,54,21,0.033590,0.764024,2386.0,686.4,1869.0,642.0,1.0692,1.2766,691.9,685.0
429,88,88,8,35,35,0,0.000000,1.000000,2169.0,700.1,1878.0,663.0,1.0560,1.1550,667.7,680.2
430,88,92,8,35,37,2,0.004850,0.949304,2110.0,620.3,1892.0,613.0,1.0119,1.1152,667.7,680.2
431,88,96,8,35,40,5,0.009405,0.922196,2066.0,627.5,2098.0,634.7,0.9887,0.9847,667.7,680.2
432,88,100,8,35,42,7,0.013697,0.921126,2076.0,629.1,2056.0,642.0,0.9800,1.0097,667.7,680.2
433,88,104,8,35,45,10,0.017737,0.887807,2257.0,655.6,2161.0,629.1,1.0420,1.0444,667.7,680.2
434,88,108,8,35,48,13,0.021519,0.837783,2124.0,655.0,2207.0,654.5,1.0008,0.9624,667.7,680.2
