cell_idx,low_b0,high_b0,b2,low_l,high_l,low_omega,high_omega,delta_l,delta_omega,cos_sim
406,76,104,8,29,45,0.098558,0.064101,16,0.034457,0.785239
407,76,108,8,29,48,0.098558,0.060319,19,0.038239,0.722094
408,76,112,8,29,51,0.098558,0.056756,22,0.041802,0.707689
409,76,116,8,29,54,0.098558,0.053413,25,0.045145,0.646438
410,80,80,8,31,31,0.092495,0.092495,0,0.000000,1.000000
411,80,84,8,31,33,0.092495,0.087003,2,0.005492,0.941021
412,80,88,8,31,35,0.092495,0.081838,4,0.010657,0.915765
413,80,92,8,31,37,0.092495,0.076988,6,0.015507,0.889349
414,80,96,8,31,40,0.092495,0.072433,9,0.020062,0.877828
415,80,100,8,31,42,0.092495,0.068141,11,0.024354,0.873684
416,80,104,8,31,45,0.092495,0.064101,14,0.028394,0.813825
417,80,108,8,31,48,0.092495,0.060319,17,0.032176,0.762076
418,80,112,8,31,51,0.092495,0.056756,20,0.035739,0.755724
419,80,116,8,31,54,0.092495,0.053413,23,0.039082,0.692358
420,84,84,8,33,33,0.087003,0.087003,0,0.000000,1.000000
421,84,88,8,33,35,0.087003,0.081838,2,0.005165,0.969704
422,84,92,8,33,37,0.087003,0.076988,4,0.010015,0.917524
423,84,96,8,33,40,0.087003,0.072433,7,0.014570,0.911749
424,84,100,8,33,42,0.087003,0.068141,9,0.018862,0.910056
425,84,104,8,33,45,0.087003,0.064101,12,0.022902,0.861836
426,84,108,8,33,48,0.087003,0.060319,15,0.026684,0.805712
427,84,112,8,33,51,0.087003,0.056756,18,0.030247,0.797006
428,84,116,8,33,54,0.087003,0.053413,21,0.033590,0.764024
429,88,88,8,35,35,0.081838,0.081838,0,0.000000,1.000000
430,88,92,8,35,37,0.081838,0.076988,2,0.004850,0.949304
431,88,96,8,35,40,0.081838,0.072433,5,0.009405,0.922196
432,88,100,8,35,42,0.081838,0.068141,7,0.013697,0.921126
433,88,104,8,35,45,0.081838,0.064101,10,0.017737,0.887807
434,88,108,8,35,48,0.081838,0.060319,13,0.021519,0.837783
435,88,112,8,35,51,0.081838,0.056756,16,0.025082,0.819624
436,88,116,8,35,54,0.081838,0.053413,19,0.028425,0.785481
437,92,92,8,37,37,0.076988,0.076988,0,0.000000,1.000000
438,92,96,8,37,40,0.076988,0.072433,3,0.004555,0.972390
439,92,100,8,37,42,0.076988,0.068141,5,0.008847,0.968955
440,92,104,8,37,45,0.076988,0.064101,8,0.012887,0.915874
441,92,108,8,37,48,0.076988,0.060319,11,0.016669,0.878587
442,92,112,8,37,51,0.076988,0.056756,14,0.020232,0.859355
443,92,116,8,37,54,0.076988,0.053413,17,0.023575,0.823104
444,96,96,8,40,40,0.072433,0.072433,0,0.000000,1.000000
445,96,100,8,40,42,0.072433,0.068141,2,0.004292,0.995045
446,96,104,8,40,45,0.072433,0.064101,5,0.008332,0.929336
447,96,108,8,40,48,0.072433,0.060319,8,0.012114,0.896188
448,96,112,8,40,51,0.072433,0.056756,11,0.015677,0.887523
449,96,116,8,40,54,0.072433,0.053413,14,0.019020,0.854764
450,100,100,8,42,42,0.068141,0.068141,0,0.000000,1.000000
451,100,104,8,42,45,0.068141,0.064101,3,0.004040,0.933245
452,100,108,8,42,48,0.068141,0.060319,6,0.007822,0.897637
453,100,112,8,42,51,0.068141,0.056756,9,0.011385,0.891228
454,100,116,8,42,54,0.068141,0.053413,12,0.014728,0.862709
455,104,104,8,45,45,0.064101,0.064101,0,0.000000,1.000000
456,104,108,8,45,48,0.064101,0.060319,3,0.003782,0.938075
457,104,112,8,45,51,0.064101,0.056756,6,0.007345,0.924261
458,104,116,8,45,54,0.064101,0.053413,9,0.010688,0.900822
459,108,108,8,48,48,0.060319,0.060319,0,0.000000,1.000000
460,108,112,8,48,51,0.060319,0.056756,3,0.003563,0.981019
461,108,116,8,48,54,0.060319,0.053413,6,0.006906,0.940547
462,112,112,8,51,51,0.056756,0.056756,0,0.000000,1.000000
463,112,116,8,51,54,0.056756,0.053413,3,0.003343,0.966774
464,116,116,8,54,54,0.053413,0.053413,0,0.000000,1.000000
465,0,0,20,9,9,0.313977,0.313977,0,0.000000,1.000000
466,0,4,20,9,9,0.313977,0.295373,0,0.018604,1.000000
467,0,8,20,9,10,0.313977,0.277880,1,0.036097,0.987532
468,0,12,20,9,11,0.313977,0.261437,2,0.052540,0.957720
469,0,16,20,9,11,0.313977,0.245974,2,0.068003,0.957720
470,0,20,20,9,12,0.313977,0.231466,3,0.082511,0.954119
471,0,24,20,9,13,0.313977,0.217851,4,0.096126,0.801020
472,0,28,20,9,14,0.313977,0.205052,5,0.108925,0.797819
473,0,32,20,9,15,0.313977,0.192561,6,0.121416,0.794403
474,0,36,20,9,16,0.313977,0.181151,7,0.132826,0.734962
475,0,40,20,9,17,0.313977,0.170413,8,0.143564,0.731091
476,0,44,20,9,18,0.313977,0.160315,9,0.153662,0.609835
477,0,48,20,9,19,0.313977,0.150809,10,0.163168,0.607893
478,0,52,20,9,20,0.313977,0.141881,11,0.172096,0.604020
479,0,56,20,9,21,0.313977,0.133455,12,0.180522,0.556244
480,0,60,20,9,23,0.313977,0.125557,14,0.188420,0.479235
481,0,64,20,9,24,0.313977,0.118155,15,0.195822,0.475977
482,0,68,20,9,26,0.313977,0.111187,17,0.202790,0.446252
483,0,72,20,9,27,0.313977,0.104659,18,0.209318,0.443621
484,0,76,20,9,29,0.313977,0.098558,20,0.215419,0.385358
485,0,80,20,9,31,0.313977,0.092495,22,0.221482,0.365365
486,0,84,20,9,33,0.313977,0.087003,24,0.226974,0.324358
487,0,88,20,9,35,0.313977,0.081838,26,0.232139,0.308884
488,0,92,20,9,37,0.313977,0.076988,28,0.236989,0.295049
489,0,96,20,9,40,0.313977,0.072433,31,0.241544,0.281429
490,0,100,20,9,42,0.313977,0.068141,33,0.245836,0.279943
491,0,104,20,9,45,0.313977,0.064101,36,0.249876,0.255188
492,0,108,20,9,48,0.313977,0.060319,39,0.253658,0.245478
493,0,112,20,9,51,0.313977,0.056756,42,0.257221,0.236817
494,0,116,20,9,54,0.313977,0.053413,45,0.260564,0.235173
495,4,4,20,9,9,0.295373,0.295373,0,0.000000,1.000000
496,4,8,20,9,10,0.295373,0.277880,1,0.017493,0.987532
497,4,12,20,9,11,0.295373,0.261437,2,0.033936,0.957720
498,4,16,20,9,11,0.295373,0.245974,2,0.049399,0.957720
499,4,20,20,9,12,0.295373,0.231466,3,0.063907,0.954119
500,4,24,20,9,13,0.295373,0.217851,4,0.077522,0.801020
501,4,28,20,9,14,0.295373,0.205052,5,0.090321,0.797819
502,4,32,20,9,15,0.295373,0.192561,6,0.102812,0.794403
503,4,36,20,9,16,0.295373,0.181151,7,0.114222,0.734962
504,4,40,20,9,17,0.295373,0.170413,8,0.124960,0.731091
505,4,44,20,9,18,0.295373,0.160315,9,0.135058,0.609835
506,4,48,20,9,19,0.295373,0.150809,10,0.144564,0.607893
507,4,52,20,9,20,0.295373,0.141881,11,0.153492,0.604020
508,4,56,20,9,21,0.295373,0.133455,12,0.161918,0.556244
509,4,60,20,9,23,0.295373,0.125557,14,0.169816,0.479235
510,4,64,20,9,24,0.295373,0.118155,15,0.177218,0.475977
511,4,68,20,9,26,0.295373,0.111187,17,0.184186,0.446252
512,4,72,20,9,27,0.295373,0.104659,18,0.190714,0.443621
513,4,76,20,9,29,0.295373,0.098558,20,0.196815,0.385358
514,4,80,20,9,31,0.295373,0.092495,22,0.202878,0.365365
515,4,84,20,9,33,0.295373,0.087003,24,0.208370,0.324358
516,4,88,20,9,35,0.295373,0.081838,26,0.213535,0.308884
517,4,92,20,9,37,0.295373,0.076988,28,0.218385,0.295049
518,4,96,20,9,40,0.295373,0.072433,31,0.222940,0.281429
519,4,100,20,9,42,0.295373,0.068141,33,0.227232,0.279943
520,4,104,20,9,45,0.295373,0.064101,36,0.231272,0.255188
521,4,108,20,9,48,0.295373,0.060319,39,0.235054,0.245478
522,4,112,20,9,51,0.295373,0.056756,42,0.238617,0.236817
523,4,116,20,9,54,0.295373,0.053413,45,0.241960,0.235173
524,8,8,20,10,10,0.277880,0.277880,0,0.000000,1.000000
525,8,12,20,10,11,0.277880,0.261437,1,0.016443,0.962258
526,8,16,20,10,11,0.277880,0.245974,1,0.031906,0.962258
527,8,20,20,10,12,0.277880,0.231466,2,0.046414,0.959462
528,8,24,20,10,13,0.277880,0.217851,3,0.060029,0.825127
529,8,28,20,10,14,0.277880,0.205052,4,0.072828,0.810830
530,8,32,20,10,15,0.277880,0.192561,5,0.085319,0.807358
531,8,36,20,10,16,0.277880,0.181151,6,0.096729,0.762107
532,8,40,20,10,17,0.277880,0.170413,7,0.107467,0.756477
533,8,44,20,10,18,0.277880,0.160315,8,0.117565,0.622408
534,8,48,20,10,19,0.277880,0.150809,9,0.127071,0.620426
535,8,52,20,10,20,0.277880,0.141881,10,0.135999,0.618030
536,8,56,20,10,21,0.277880,0.133455,11,0.144425,0.616308
537,8,60,20,10,23,0.277880,0.125557,13,0.152323,0.504317
538,8,64,20,10,24,0.277880,0.118155,14,0.159725,0.500889
539,8,68,20,10,26,0.277880,0.111187,16,0.166693,0.489775
540,8,72,20,10,27,0.277880,0.104659,17,0.173221,0.486887
541,8,76,20,10,29,0.277880,0.098558,19,0.179322,0.432572
542,8,80,20,10,31,0.277880,0.092495,21,0.185385,0.405825
543,8,84,20,10,33,0.277880,0.087003,23,0.190877,0.373466
544,8,88,20,10,35,0.277880,0.081838,25,0.196042,0.356663
545,8,92,20,10,37,0.277880,0.076988,27,0.200892,0.327502
546,8,96,20,10,40,0.277880,0.072433,30,0.205447,0.313060
547,8,100,20,10,42,0.277880,0.068141,32,0.209739,0.311407
548,8,104,20,10,45,0.277880,0.064101,35,0.213779,0.290978
549,8,108,20,10,48,0.277880,0.060319,38,0.217561,0.266744
550,8,112,20,10,51,0.277880,0.056756,41,0.221124,0.257332
551,8,116,20,10,54,0.277880,0.053413,44,0.224467,0.254572
552,12,12,20,11,11,0.261437,0.261437,0,0.000000,1.000000
553,12,16,20,11,11,0.261437,0.245974,0,0.015463,1.000000
554,12,20,20,11,12,0.261437,0.231466,1,0.029971,0.995544
555,12,24,20,11,13,0.261437,0.217851,2,0.043586,0.912477
556,12,28,20,11,14,0.261437,0.205052,3,0.056385,0.908050
557,12,32,20,11,15,0.261437,0.192561,4,0.068876,0.904526
558,12,36,20,11,16,0.261437,0.181151,5,0.080286,0.856708
559,12,40,20,11,17,0.261437,0.170413,6,0.091024,0.855026
560,12,44,20,11,18,0.261437,0.160315,7,0.101122,0.704397
561,12,48,20,11,19,0.261437,0.150809,8,0.110628,0.702155
562,12,52,20,11,20,0.261437,0.141881,9,0.119556,0.698991
563,12,56,20,11,21,0.261437,0.133455,10,0.127982,0.672783
564,12,60,20,11,23,0.261437,0.125557,12,0.135880,0.596793
565,12,64,20,11,24,0.261437,0.118155,13,0.143282,0.593426
566,12,68,20,11,26,0.261437,0.111187,15,0.150250,0.559115
567,12,72,20,11,27,0.261437,0.104659,16,0.156778,0.555818
568,12,76,20,11,29,0.261437,0.098558,18,0.162879,0.476405
569,12,80,20,11,31,0.261437,0.092495,20,0.168942,0.452927
570,12,84,20,11,33,0.261437,0.087003,22,0.174434,0.402918
571,12,88,20,11,35,0.261437,0.081838,24,0.179599,0.383548
572,12,92,20,11,37,0.261437,0.076988,26,0.184449,0.357033
573,12,96,20,11,40,0.261437,0.072433,29,0.189004,0.342032
574,12,100,20,11,42,0.261437,0.068141,31,0.193296,0.340226
575,12,104,20,11,45,0.261437,0.064101,34,0.197336,0.302778
576,12,108,20,11,48,0.261437,0.060319,37,0.201118,0.282232
577,12,112,20,11,51,0.261437,0.056756,40,0.204681,0.272307
578,12,116,20,11,54,0.261437,0.053413,43,0.208024,0.259920
579,16,16,20,11,11,0.245974,0.245974,0,0.000000,1.000000
580,16,20,20,11,12,0.245974,0.231466,1,0.014508,0.995544
581,16,24,20,11,13,0.245974,0.217851,2,0.028123,0.912477
582,16,28,20,11,14,0.245974,0.205052,3,0.040922,0.908050
583,16,32,20,11,15,0.245974,0.192561,4,0.053413,0.904526
584,16,36,20,11,16,0.245974,0.181151,5,0.064823,0.856708
585,16,40,20,11,17,0.245974,0.170413,6,0.075561,0.855026
586,16,44,20,11,18,0.245974,0.160315,7,0.085659,0.704397
587,16,48,20,11,19,0.245974,0.150809,8,0.095165,0.702155
588,16,52,20,11,20,0.245974,0.141881,9,0.104093,0.698991
589,16,56,20,11,21,0.245974,0.133455,10,0.112519,0.672783
590,16,60,20,11,23,0.245974,0.125557,12,0.120417,0.596793
591,16,64,20,11,24,0.245974,0.118155,13,0.127819,0.593426
592,16,68,20,11,26,0.245974,0.111187,15,0.134787,0.559115
593,16,72,20,11,27,0.245974,0.104659,16,0.141315,0.555818
594,16,76,20,11,29,0.245974,0.098558,18,0.147416,0.476405
595,16,80,20,11,31,0.245974,0.092495,20,0.153479,0.452927
596,16,84,20,11,33,0.245974,0.087003,22,0.158971,0.402918
597,16,88,20,11,35,0.245974,0.081838,24,0.164136,0.383548
598,16,92,20,11,37,0.245974,0.076988,26,0.168986,0.357033
599,16,96,20,11,40,0.245974,0.072433,29,0.173541,0.342032
600,16,100,20,11,42,0.245974,0.068141,31,0.177833,0.340226
601,16,104,20,11,45,0.245974,0.064101,34,0.181873,0.302778
602,16,108,20,11,48,0.245974,0.060319,37,0.185655,0.282232
603,16,112,20,11,51,0.245974,0.056756,40,0.189218,0.272307
604,16,116,20,11,54,0.245974,0.053413,43,0.192561,0.259920
605,20,20,20,12,12,0.231466,0.231466,0,0.000000,1.000000
606,20,24,20,12,13,0.231466,0.217851,1,0.013615,0.914256
607,20,28,20,12,14,0.231466,0.205052,2,0.026414,0.908209
608,20,32,20,12,15,0.231466,0.192561,3,0.038905,0.906659
609,20,36,20,12,16,0.231466,0.181151,4,0.050315,0.864561
610,20,40,20,12,17,0.231466,0.170413,5,0.061053,0.855813
611,20,44,20,12,18,0.231466,0.160315,6,0.071151,0.713679
612,20,48,20,12,19,0.231466,0.150809,7,0.080657,0.711407
613,20,52,20,12,20,0.231466,0.141881,8,0.089585,0.706838
614,20,56,20,12,21,0.231466,0.133455,9,0.098011,0.678154
615,20,60,20,12,23,0.231466,0.125557,11,0.105909,0.606815
616,20,64,20,12,24,0.231466,0.118155,12,0.113311,0.604846
617,20,68,20,12,26,0.231466,0.111187,14,0.120279,0.583333
618,20,72,20,12,27,0.231466,0.104659,15,0.126807,0.580363
619,20,76,20,12,29,0.231466,0.098558,17,0.132908,0.486786
620,20,80,20,12,31,0.231466,0.092495,19,0.138971,0.475382
621,20,84,20,12,33,0.231466,0.087003,21,0.144463,0.437191
622,20,88,20,12,35,0.231466,0.081838,23,0.149628,0.412458
623,20,92,20,12,37,0.231466,0.076988,25,0.154478,0.382230
624,20,96,20,12,40,0.231466,0.072433,28,0.159033,0.366081
625,20,100,20,12,42,0.231466,0.068141,30,0.163325,0.364148
626,20,104,20,12,45,0.231466,0.064101,33,0.167365,0.326036
627,20,108,20,12,48,0.231466,0.060319,36,0.171147,0.304999
628,20,112,20,12,51,0.231466,0.056756,39,0.174710,0.294525
629,20,116,20,12,54,0.231466,0.053413,42,0.178053,0.286612
630,24,24,20,13,13,0.217851,0.217851,0,0.000000,1.000000
631,24,28,20,13,14,0.217851,0.205052,1,0.012799,0.988779
632,24,32,20,13,15,0.217851,0.192561,2,0.025290,0.985644
633,24,36,20,13,16,0.217851,0.181151,3,0.036700,0.938800
634,24,40,20,13,17,0.217851,0.170413,4,0.047438,0.932889
635,24,44,20,13,18,0.217851,0.160315,5,0.057536,0.863922
636,24,48,20,13,19,0.217851,0.150809,6,0.067042,0.861171
637,24,52,20,13,20,0.217851,0.141881,7,0.075970,0.860560
638,24,56,20,13,21,0.217851,0.133455,8,0.084396,0.824973
639,24,60,20,13,23,0.217851,0.125557,10,0.092294,0.700381
640,24,64,20,13,24,0.217851,0.118155,11,0.099696,0.697701
641,24,68,20,13,26,0.217851,0.111187,13,0.106664,0.693943
642,24,72,20,13,27,0.217851,0.104659,14,0.113192,0.691521
643,24,76,20,13,29,0.217851,0.098558,16,0.119293,0.599226
644,24,80,20,13,31,0.217851,0.092495,18,0.125356,0.564445
645,24,84,20,13,33,0.217851,0.087003,20,0.130848,0.494349
646,24,88,20,13,35,0.217851,0.081838,22,0.136013,0.476976
647,24,92,20,13,37,0.217851,0.076988,24,0.140863,0.423153
648,24,96,20,13,40,0.217851,0.072433,27,0.145418,0.402931
649,24,100,20,13,42,0.217851,0.068141,29,0.149710,0.400804
650,24,104,20,13,45,0.217851,0.064101,32,0.153750,0.355508
651,24,108,20,13,48,0.217851,0.060319,35,0.157532,0.313440
652,24,112,20,13,51,0.217851,0.056756,38,0.161095,0.303110
653,24,116,20,13,54,0.217851,0.053413,41,0.164438,0.288582
654,28,28,20,14,14,0.205052,0.205052,0,0.000000,1.000000
655,28,32,20,14,15,0.205052,0.192561,1,0.012491,0.996033
656,28,36,20,14,16,0.205052,0.181151,2,0.023901,0.935506
657,28,40,20,14,17,0.205052,0.170413,3,0.034639,0.935847
658,28,44,20,14,18,0.205052,0.160315,4,0.044737,0.889854
659,28,48,20,14,19,0.205052,0.150809,5,0.054243,0.887290
660,28,52,20,14,20,0.205052,0.141881,6,0.063171,0.877636
661,28,56,20,14,21,0.205052,0.133455,7,0.071597,0.829634
662,28,60,20,14,23,0.205052,0.125557,9,0.079495,0.730016
663,28,64,20,14,24,0.205052,0.118155,10,0.086897,0.726729
664,28,68,20,14,26,0.205052,0.111187,12,0.093865,0.699991
665,28,72,20,14,27,0.205052,0.104659,13,0.100393,0.697812
666,28,76,20,14,29,0.205052,0.098558,15,0.106494,0.627018
667,28,80,20,14,31,0.205052,0.092495,17,0.112557,0.609997
668,28,84,20,14,33,0.205052,0.087003,19,0.118049,0.514734
669,28,88,20,14,35,0.205052,0.081838,21,0.123214,0.500875
670,28,92,20,14,37,0.205052,0.076988,23,0.128064,0.460607
671,28,96,20,14,40,0.205052,0.072433,26,0.132619,0.438672
672,28,100,20,14,42,0.205052,0.068141,28,0.136911,0.436356
673,28,104,20,14,45,0.205052,0.064101,31,0.140951,0.381876
674,28,108,20,14,48,0.205052,0.060319,34,0.144733,0.349051
675,28,112,20,14,51,0.205052,0.056756,37,0.148296,0.338010
676,28,116,20,14,54,0.205052,0.053413,40,0.151639,0.312693
677,32,32,20,15,15,0.192561,0.192561,0,0.000000,1.000000
678,32,36,20,15,16,0.192561,0.181151,1,0.011410,0.938368
679,32,40,20,15,17,0.192561,0.170413,2,0.022148,0.935069
680,32,44,20,15,18,0.192561,0.160315,3,0.032246,0.892442
681,32,48,20,15,19,0.192561,0.150809,4,0.041752,0.890947
682,32,52,20,15,20,0.192561,0.141881,5,0.050680,0.885365
683,32,56,20,15,21,0.192561,0.133455,6,0.059106,0.830290
684,32,60,20,15,23,0.192561,0.125557,8,0.067004,0.736439
685,32,64,20,15,24,0.192561,0.118155,9,0.074406,0.733428
686,32,68,20,15,26,0.192561,0.111187,11,0.081374,0.705917
687,32,72,20,15,27,0.192561,0.104659,12,0.087902,0.703315
688,32,76,20,15,29,0.192561,0.098558,14,0.094003,0.631455
689,32,80,20,15,31,0.192561,0.092495,16,0.100066,0.622422
690,32,84,20,15,33,0.192561,0.087003,18,0.105558,0.536034
691,32,88,20,15,35,0.192561,0.081838,20,0.110723,0.509811
692,32,92,20,15,37,0.192561,0.076988,22,0.115573,0.476573
693,32,96,20,15,40,0.192561,0.072433,25,0.120128,0.463859
694,32,100,20,15,42,0.192561,0.068141,27,0.124420,0.461410
695,32,104,20,15,45,0.192561,0.064101,30,0.128460,0.405324
696,32,108,20,15,48,0.192561,0.060319,33,0.132242,0.369089
697,32,112,20,15,51,0.192561,0.056756,36,0.135805,0.357563
698,32,116,20,15,54,0.192561,0.053413,39,0.139148,0.333011
699,36,36,20,16,16,0.181151,0.181151,0,0.000000,1.000000
700,36,40,20,16,17,0.181151,0.170413,1,0.010738,0.991072
701,36,44,20,16,18,0.181151,0.160315,2,0.020836,0.877130
702,36,48,20,16,19,0.181151,0.150809,3,0.030342,0.875913
703,36,52,20,16,20,0.181151,0.141881,4,0.039270,0.874153
704,36,56,20,16,21,0.181151,0.133455,5,0.047696,0.874962
705,36,60,20,16,23,0.181151,0.125557,7,0.055594,0.794798
706,36,64,20,16,24,0.181151,0.118155,8,0.062996,0.794746
707,36,68,20,16,26,0.181151,0.111187,10,0.069964,0.781320
708,36,72,20,16,27,0.181151,0.104659,11,0.076492,0.777757
709,36,76,20,16,29,0.181151,0.098558,13,0.082593,0.652056
710,36,80,20,16,31,0.181151,0.092495,15,0.088656,0.641091
711,36,84,20,16,33,0.181151,0.087003,17,0.094148,0.590452
712,36,88,20,16,35,0.181151,0.081838,19,0.099313,0.568293
713,36,92,20,16,37,0.181151,0.076988,21,0.104163,0.496688
714,36,96,20,16,40,0.181151,0.072433,24,0.108718,0.485187
715,36,100,20,16,42,0.181151,0.068141,26,0.113010,0.482624
716,36,104,20,16,45,0.181151,0.064101,29,0.117050,0.436256
717,36,108,20,16,48,0.181151,0.060319,32,0.120832,0.384712
718,36,112,20,16,51,0.181151,0.056756,35,0.124395,0.371927
719,36,116,20,16,54,0.181151,0.053413,38,0.127738,0.352146
720,40,40,20,17,17,0.170413,0.170413,0,0.000000,1.000000
721,40,44,20,17,18,0.170413,0.160315,1,0.010098,0.880950
722,40,48,20,17,19,0.170413,0.150809,2,0.019604,0.878454
723,40,52,20,17,20,0.170413,0.141881,3,0.028532,0.876813
724,40,56,20,17,21,0.170413,0.133455,4,0.036958,0.883810
725,40,60,20,17,23,0.170413,0.125557,6,0.044856,0.814005
726,40,64,20,17,24,0.170413,0.118155,7,0.052258,0.807285
727,40,68,20,17,26,0.170413,0.111187,9,0.059226,0.780681
728,40,72,20,17,27,0.170413,0.104659,10,0.065754,0.778886
729,40,76,20,17,29,0.170413,0.098558,12,0.071855,0.673868
730,40,80,20,17,31,0.170413,0.092495,14,0.077918,0.651229
731,40,84,20,17,33,0.170413,0.087003,16,0.083410,0.598675
732,40,88,20,17,35,0.170413,0.081838,18,0.088575,0.592719
733,40,92,20,17,37,0.170413,0.076988,20,0.093425,0.527675
734,40,96,20,17,40,0.170413,0.072433,23,0.097980,0.503007
735,40,100,20,17,42,0.170413,0.068141,25,0.102272,0.500350
736,40,104,20,17,45,0.170413,0.064101,28,0.106312,0.457841
737,40,108,20,17,48,0.170413,0.060319,31,0.110094,0.413431
738,40,112,20,17,51,0.170413,0.056756,34,0.113657,0.398237
739,40,116,20,17,54,0.170413,0.053413,37,0.117000,0.371517
740,44,44,20,18,18,0.160315,0.160315,0,0.000000,1.000000
741,44,48,20,18,19,0.160315,0.150809,1,0.009506,0.997279
742,44,52,20,18,20,0.160315,0.141881,2,0.018434,0.988639
743,44,56,20,18,21,0.160315,0.133455,3,0.026860,0.931376
744,44,60,20,18,23,0.160315,0.125557,5,0.034758,0.886589
745,44,64,20,18,24,0.160315,0.118155,6,0.042160,0.881537
746,44,68,20,18,26,0.160315,0.111187,8,0.049128,0.853910
747,44,72,20,18,27,0.160315,0.104659,9,0.055656,0.853231
748,44,76,20,18,29,0.160315,0.098558,11,0.061757,0.788912
749,44,80,20,18,31,0.160315,0.092495,13,0.067820,0.776261
750,44,84,20,18,33,0.160315,0.087003,15,0.073312,0.671538
751,44,88,20,18,35,0.160315,0.081838,17,0.078477,0.658462
752,44,92,20,18,37,0.160315,0.076988,19,0.083327,0.610236
753,44,96,20,18,40,0.160315,0.072433,22,0.087882,0.591042
754,44,100,20,18,42,0.160315,0.068141,24,0.092174,0.588013
755,44,104,20,18,45,0.160315,0.064101,27,0.096214,0.506674
756,44,108,20,18,48,0.160315,0.060319,30,0.099996,0.457520
757,44,112,20,18,51,0.160315,0.056756,33,0.103559,0.440902
758,44,116,20,18,54,0.160315,0.053413,36,0.106902,0.405757
759,48,48,20,19,19,0.150809,0.150809,0,0.000000,1.000000
760,48,52,20,19,20,0.150809,0.141881,1,0.008928,0.991553
761,48,56,20,19,21,0.150809,0.133455,2,0.017354,0.931612
762,48,60,20,19,23,0.150809,0.125557,4,0.025252,0.887220
763,48,64,20,19,24,0.150809,0.118155,5,0.032654,0.885421
764,48,68,20,19,26,0.150809,0.111187,7,0.039622,0.859317
765,48,72,20,19,27,0.150809,0.104659,8,0.046150,0.853522
766,48,76,20,19,29,0.150809,0.098558,10,0.052251,0.791795
767,48,80,20,19,31,0.150809,0.092495,12,0.058314,0.780818
768,48,84,20,19,33,0.150809,0.087003,14,0.063806,0.676105
769,48,88,20,19,35,0.150809,0.081838,16,0.068971,0.661742
770,48,92,20,19,37,0.150809,0.076988,18,0.073821,0.615389
771,48,96,20,19,40,0.150809,0.072433,21,0.078376,0.602995
772,48,100,20,19,42,0.150809,0.068141,23,0.082668,0.600390
773,48,104,20,19,45,0.150809,0.064101,26,0.086708,0.513632
774,48,108,20,19,48,0.150809,0.060319,29,0.090490,0.472893
775,48,112,20,19,51,0.150809,0.056756,32,0.094053,0.460204
776,48,116,20,19,54,0.150809,0.053413,35,0.097396,0.425928
777,52,52,20,20,20,0.141881,0.141881,0,0.000000,1.000000
778,52,56,20,20,21,0.141881,0.133455,1,0.008426,0.936021
779,52,60,20,20,23,0.141881,0.125557,3,0.016324,0.891162
780,52,64,20,20,24,0.141881,0.118155,4,0.023726,0.890963
781,52,68,20,20,26,0.141881,0.111187,6,0.030694,0.871537
782,52,72,20,20,27,0.141881,0.104659,7,0.037222,0.866527
783,52,76,20,20,29,0.141881,0.098558,9,0.043323,0.800206
784,52,80,20,20,31,0.141881,0.092495,11,0.049386,0.780971
785,52,84,20,20,33,0.141881,0.087003,13,0.054878,0.694001
786,52,88,20,20,35,0.141881,0.081838,15,0.060043,0.673656
787,52,92,20,20,37,0.141881,0.076988,17,0.064893,0.619667
788,52,96,20,20,40,0.141881,0.072433,20,0.069448,0.614919
789,52,100,20,20,42,0.141881,0.068141,22,0.073740,0.612747
790,52,104,20,20,45,0.141881,0.064101,25,0.077780,0.541196
791,52,108,20,20,48,0.141881,0.060319,28,0.081562,0.484745
792,52,112,20,20,51,0.141881,0.056756,31,0.085125,0.476187
793,52,116,20,20,54,0.141881,0.053413,34,0.088468,0.448200
794,56,56,20,21,21,0.133455,0.133455,0,0.000000,1.000000
795,56,60,20,21,23,0.133455,0.125557,2,0.007898,0.901900
796,56,64,20,21,24,0.133455,0.118155,3,0.015300,0.898870
797,56,68,20,21,26,0.133455,0.111187,5,0.022268,0.896912
798,56,72,20,21,27,0.133455,0.104659,6,0.028796,0.894861
799,56,76,20,21,29,0.133455,0.098558,8,0.034897,0.848391
800,56,80,20,21,31,0.133455,0.092495,10,0.040960,0.818795
801,56,84,20,21,33,0.133455,0.087003,12,0.046452,0.753372
802,56,88,20,21,35,0.133455,0.081838,14,0.051617,0.743785
803,56,92,20,21,37,0.133455,0.076988,16,0.056467,0.650446
804,56,96,20,21,40,0.133455,0.072433,19,0.061022,0.636406
805,56,100,20,21,42,0.133455,0.068141,21,0.065314,0.634215
806,56,104,20,21,45,0.133455,0.064101,24,0.069354,0.592085
807,56,108,20,21,48,0.133455,0.060319,27,0.073136,0.515432
808,56,112,20,21,51,0.133455,0.056756,30,0.076699,0.504607
809,56,116,20,21,54,0.133455,0.053413,33,0.080042,0.473167
810,60,60,20,23,23,0.125557,0.125557,0,0.000000,1.000000
811,60,64,20,23,24,0.125557,0.118155,1,0.007402,0.993421
812,60,68,20,23,26,0.125557,0.111187,3,0.014370,0.951277
813,60,72,20,23,27,0.125557,0.104659,4,0.020898,0.950372
814,60,76,20,23,29,0.125557,0.098558,6,0.026999,0.897093
815,60,80,20,23,31,0.125557,0.092495,8,0.033062,0.880511
