cell_idx,low_b0,high_b0,b2,low_l,high_l,low_omega,high_omega,delta_l,delta_omega,cos_sim
92,12,32,8,11,15,0.261437,0.192561,4,0.068876,0.904526
93,12,36,8,11,16,0.261437,0.181151,5,0.080286,0.856708
94,12,40,8,11,17,0.261437,0.170413,6,0.091024,0.855026
95,12,44,8,11,18,0.261437,0.160315,7,0.101122,0.704397
96,12,48,8,11,19,0.261437,0.150809,8,0.110628,0.702155
97,12,52,8,11,20,0.261437,0.141881,9,0.119556,0.698991
98,12,56,8,11,21,0.261437,0.133455,10,0.127982,0.672783
99,12,60,8,11,23,0.261437,0.125557,12,0.135880,0.596793
100,12,64,8,11,24,0.261437,0.118155,13,0.143282,0.593426
101,12,68,8,11,26,0.261437,0.111187,15,0.150250,0.559115
102,12,72,8,11,27,0.261437,0.104659,16,0.156778,0.555818
103,12,76,8,11,29,0.261437,0.098558,18,0.162879,0.476405
104,12,80,8,11,31,0.261437,0.092495,20,0.168942,0.452927
105,12,84,8,11,33,0.261437,0.087003,22,0.174434,0.402918
106,12,88,8,11,35,0.261437,0.081838,24,0.179599,0.383548
107,12,92,8,11,37,0.261437,0.076988,26,0.184449,0.357033
108,12,96,8,11,40,0.261437,0.072433,29,0.189004,0.342032
109,12,100,8,11,42,0.261437,0.068141,31,0.193296,0.340226
110,12,104,8,11,45,0.261437,0.064101,34,0.197336,0.302778
111,12,108,8,11,48,0.261437,0.060319,37,0.201118,0.282232
112,12,112,8,11,51,0.261437,0.056756,40,0.204681,0.272307
113,12,116,8,11,54,0.261437,0.053413,43,0.208024,0.259920
114,16,16,8,11,11,0.245974,0.245974,0,0.000000,1.000000
115,16,20,8,11,12,0.245974,0.231466,1,0.014508,0.995544
116,16,24,8,11,13,0.245974,0.217851,2,0.028123,0.912477
117,16,28,8,11,14,0.245974,0.205052,3,0.040922,0.908050
118,16,32,8,11,15,0.245974,0.192561,4,0.053413,0.904526
119,16,36,8,11,16,0.245974,0.181151,5,0.064823,0.856708
120,16,40,8,11,17,0.245974,0.170413,6,0.075561,0.855026
121,16,44,8,11,18,0.245974,0.160315,7,0.085659,0.704397
122,16,48,8,11,19,0.245974,0.150809,8,0.095165,0.702155
123,16,52,8,11,20,0.245974,0.141881,9,0.104093,0.698991
124,16,56,8,11,21,0.245974,0.133455,10,0.112519,0.672783
125,16,60,8,11,23,0.245974,0.125557,12,0.120417,0.596793
126,16,64,8,11,24,0.245974,0.118155,13,0.127819,0.593426
127,16,68,8,11,26,0.245974,0.111187,15,0.134787,0.559115
128,16,72,8,11,27,0.245974,0.104659,16,0.141315,0.555818
129,16,76,8,11,29,0.245974,0.098558,18,0.147416,0.476405
130,16,80,8,11,31,0.245974,0.092495,20,0.153479,0.452927
131,16,84,8,11,33,0.245974,0.087003,22,0.158971,0.402918
132,16,88,8,11,35,0.245974,0.081838,24,0.164136,0.383548
133,16,92,8,11,37,0.245974,0.076988,26,0.168986,0.357033
134,16,96,8,11,40,0.245974,0.072433,29,0.173541,0.342032
135,16,100,8,11,42,0.245974,0.068141,31,0.177833,0.340226
136,16,104,8,11,45,0.245974,0.064101,34,0.181873,0.302778
137,16,108,8,11,48,0.245974,0.060319,37,0.185655,0.282232
138,16,112,8,11,51,0.245974,0.056756,40,0.189218,0.272307
139,16,116,8,11,54,0.245974,0.053413,43,0.192561,0.259920
140,20,20,8,12,12,0.231466,0.231466,0,0.000000,1.000000
141,20,24,8,12,13,0.231466,0.217851,1,0.013615,0.914256
142,20,28,8,12,14,0.231466,0.205052,2,0.026414,0.908209
143,20,32,8,12,15,0.231466,0.192561,3,0.038905,0.906659
144,20,36,8,12,16,0.231466,0.181151,4,0.050315,0.864561
145,20,40,8,12,17,0.231466,0.170413,5,0.061053,0.855813
